Symbol,logFC,logCPM,PValue,FDR
spi,0.423122985,7.339940457,0.015205936,0.063466505
dmGlut,0.575886781,5.459360853,0.015279635,0.06374599
Zasp52,0.877052848,7.780238703,0.015294985,0.063781907
D,0.808760853,3.248904038,0.015387017,0.064137424
crc,0.410038878,8.403380381,0.0154145,0.064223688
nau,1.320173133,0.700157793,0.015449802,0.064342441
tral,0.905242751,8.200223914,0.015471138,0.064402951
RpS3A,0.54162774,10.56520006,0.01552731,0.064605446
CG32095,1.064431692,3.965715472,0.015533438,0.064605446
SH3PX1,-0.452041824,6.559034955,0.015548496,0.06463966
CG17564,0.960954609,0.709758216,0.015580207,0.064743048
ect,1.010910805,0.565691881,0.015768183,0.065480923
me31B,1.127214374,7.518624733,0.015771615,0.065480923
Hsp83,-0.418099678,9.815797257,0.015805363,0.065592258
ss,-0.395176952,8.273075677,0.016069346,0.066632568
scb,0.716189882,4.255824404,0.016070125,0.066632568
CG31104,-0.970963319,0.747699132,0.01610343,0.066741419
jdp,0.419357224,7.751457338,0.016175954,0.067012643
5-HT7,0.804425233,2.323830495,0.016183993,0.067016604
CG11275,0.540320384,5.674328212,0.016248578,0.067237933
MFS17,-0.423967055,7.034503674,0.016251654,0.067237933
CR44415,1.02366755,0.409299008,0.016302566,0.067419092
jigr1,0.980397986,6.941942717,0.016315999,0.067445165
CG12038,-0.673186526,4.725491747,0.016329418,0.067471158
CG17258,0.857439801,1.57408348,0.016382568,0.067661222
CG6683,1.274490084,2.640928269,0.016531237,0.068245448
Octbeta1R,-0.556006279,5.659630042,0.016549998,0.068293103
lms,-0.9031131,1.298790771,0.016560054,0.068304809
CG5245,0.99121564,1.458799064,0.016580042,0.068357455
CG12768,0.790826742,2.587718985,0.016600118,0.068410415
koko,1.590109966,3.902235468,0.016609243,0.068418224
NimC1,0.822801047,3.208551174,0.01663183,0.068481452
CG13096,1.554639197,4.843060786,0.016643727,0.068500629
pix,0.399777696,7.906890861,0.016798783,0.069108733
Obp58b,0.672836775,4.655950895,0.016834651,0.069223749
Mppe,0.842181432,4.39456256,0.016841373,0.069223749
Asator,-0.427270268,7.401412446,0.016915346,0.069497614
Rpn9,-0.431173362,6.75093238,0.016923009,0.069498921
CG31064,-0.480236309,6.082159196,0.016935581,0.069520374
nst,1.134857881,4.750813445,0.016948211,0.069542053
png,0.947183578,0.954598135,0.016968073,0.06959337
Surf6,1.42502331,4.195146293,0.01698234,0.06962171
CG5742,-0.632197285,4.838479395,0.017028719,0.069775702
Mhc,0.956776033,9.70048037,0.017034651,0.069775702
Yippee,-0.505361916,5.798779578,0.017185723,0.070364045
Rpt3,-0.417204171,7.257986784,0.017212067,0.070441427
MRE16,0.415640677,8.331429517,0.017277591,0.070672312
CR42860,0.987436218,2.558678827,0.017283421,0.070672312
hang,1.042529967,6.235896628,0.01732291,0.070803185
Gel,0.427562934,7.358504256,0.01736413,0.070941018
CG33199,0.801981369,3.08842875,0.017429354,0.071176759
CG9360,0.407475279,8.135091725,0.017454148,0.071202054
CG4332,0.99543692,4.635510984,0.017455469,0.071202054
CG4239,0.602742267,6.020656227,0.017458123,0.071202054
CG34461,0.915655954,1.221169572,0.017486477,0.071286966
CG8870,0.835644279,1.809314798,0.017552371,0.071524779
Cyp28d2,0.805599602,2.386676706,0.017620172,0.071770155
CG3038,0.939727696,3.326678341,0.017648592,0.071843621
CG44245,0.539587689,6.601989905,0.017653395,0.071843621
fd96Cb,0.612605517,5.013487374,0.01769678,0.071986164
ash2,0.538509339,5.725683649,0.017703636,0.071986164
CG4377,1.103599725,1.502129936,0.017745551,0.072089632
DIP-theta,0.758190113,3.683752981,0.017748052,0.072089632
mamo,0.42496758,7.318335445,0.017756392,0.072089632
CG4911,0.524689063,7.306997346,0.017759557,0.072089632
spartin,-0.755356624,3.86631768,0.017775373,0.072122891
CG8596,-0.542594174,5.522851504,0.017784411,0.072128632
GstE13,0.896549742,4.111280831,0.017818148,0.072234497
r-l,1.057034032,4.579971463,0.017910871,0.072560568
Tsp74F,0.397089096,8.755962688,0.017913917,0.072560568
CR45119,0.927831068,0.809208116,0.018005074,0.072896573
CG7646,-0.463010435,6.491661629,0.018012279,0.072896573
C901,1.011303491,-0.090557034,0.018027529,0.072927096
MFS9,0.416807591,9.993522371,0.018083751,0.073108444
SERCA,0.751402813,10.56015036,0.018087811,0.073108444
CG9192,1.226433122,0.225159949,0.018111147,0.073140646
Nedd4,-0.423838969,7.234312672,0.018111238,0.073140646
sens-2,0.64320249,4.751633069,0.018127972,0.073175119
CG34113,-0.741838416,4.186689461,0.018135242,0.073175119
CG9098,0.778680836,3.280717974,0.01823065,0.073528733
Tudor-SN,0.899341333,6.714138212,0.018245005,0.073555277
cana,0.480368679,6.085277647,0.018350026,0.073947168
AP-2alpha,-0.402669308,7.022795301,0.018427847,0.074206225
CG3257,-0.422398572,7.282791696,0.018429997,0.074206225
spoon,0.951277044,6.513503378,0.01848462,0.074394503
CR45133,0.968179161,0.543336505,0.018493348,0.074397986
Nlg1,0.961988351,3.460834677,0.018521405,0.074479191
Obp58d,0.910795978,1.019716274,0.018596243,0.074748363
CG31467,-0.810796974,2.109857884,0.018606031,0.074755953
snoRNA:Me28S-U1688,0.970631667,0.465218677,0.01862196,0.074757911
Usp16-45,1.177130392,5.482235138,0.018624348,0.074757911
cv-c,0.428778438,7.175685712,0.018634082,0.074757911
Pde9,-0.729048174,4.175070023,0.018642713,0.074757911
Cys,0.636952304,4.912907618,0.018646023,0.074757911
RpII140,0.715834019,6.662249578,0.018703272,0.07495568
Fmo-1,0.845681642,1.294801719,0.018712952,0.074962721
Cpr,-0.386253659,9.785975834,0.018788391,0.075233077
CG6472,0.777133307,3.155037714,0.01882713,0.075356304
drd,0.769814665,3.750553204,0.018876624,0.075522459
fra,0.784519673,4.085102625,0.018912969,0.075608142
CG2924,1.050703383,6.776201651,0.018914022,0.075608142
CG31205,1.030270967,3.797514952,0.018943113,0.075669622
CG11594,0.745231402,3.955702534,0.018945396,0.075669622
CR46263,0.833020661,2.45473735,0.018961114,0.075700448
Tom7,-0.405802085,7.206352487,0.019043269,0.075996378
Drep1,0.976870859,5.423253315,0.019102553,0.076200826
CG4364,0.539051611,7.167231243,0.019118224,0.0762312
gb,0.784441287,4.002932076,0.019127611,0.076236503
CG14312,-0.874021618,1.267100546,0.019217517,0.076562589
CG2691,1.007427447,5.433124782,0.019271951,0.07674714
disco-r,0.409780481,6.888221773,0.019335637,0.076968364
CG8519,1.169997605,2.700632207,0.019431802,0.077318634
Chrac-16,1.119594306,3.445284079,0.019444442,0.077336404
Ubc2,0.911036002,5.860157845,0.019458485,0.077344058
CG7059,0.767769097,3.767609295,0.019462714,0.077344058
GCS2alpha,-0.414262857,8.926705611,0.019480955,0.077384047
CG7024,0.972198842,0.160134217,0.01949612,0.077411788
CG9782,1.022405557,0.898078682,0.019544191,0.077570109
pigs,0.467877064,6.196422717,0.019580719,0.077670251
CG17322,2.001549628,2.010373438,0.01958584,0.077670251
CG9864,0.427725594,7.384891369,0.019613754,0.077716471
CG8312,-0.39352268,8.916768847,0.019613922,0.077716471
CG32373,0.766257299,3.426581656,0.019626369,0.077733239
up,0.946785897,8.472919004,0.019645425,0.077776153
CG13283,1.200062898,0.669239459,0.019678609,0.077874947
CG8177,-0.407793628,8.023375449,0.019699349,0.07792443
Scsalpha,0.408002813,7.975531891,0.019841285,0.078453089
CG7208,-0.950506805,3.472342605,0.01987243,0.078543415
Gk2,0.560866794,5.626400309,0.019883205,0.078553189
CG6398,0.521696683,6.39728644,0.019920672,0.078668362
klu,0.791484963,2.985251758,0.019999747,0.078947688
Tlk,0.902569775,6.636381932,0.020060224,0.079153393
CG11835,1.054422267,3.592669516,0.020076513,0.079178637
CG34172,0.856053588,5.014034194,0.020083358,0.079178637
parvin,0.462918162,6.531597019,0.020132461,0.079339169
Rtca,-0.593596637,4.947280274,0.02029964,0.079964694
HERC2,-0.451698608,6.349931665,0.020478368,0.080635172
pita,0.789386373,5.694915703,0.02051189,0.080733569
CG16926,-2.067249477,2.997881674,0.020594484,0.081024952
TRAM,0.624193466,5.100434052,0.020617012,0.08107987
pain,0.44252108,6.476012466,0.020649351,0.081173312
kuz,0.94064322,5.138088697,0.020679562,0.081258313
CG31704,0.837549856,1.774981107,0.02072612,0.08140745
UbcE2H,0.5449069,8.086792033,0.020925701,0.082157255
CG5964,-0.695401584,4.181525903,0.020985527,0.082323409
DnaJ-H,-0.385455001,7.597106544,0.020992419,0.082323409
rgr,-0.555403553,5.348560622,0.020994122,0.082323409
ppk15,1.060529345,0.458145852,0.021099581,0.082702666
Snx6,-0.445314944,7.164783562,0.021119114,0.082744952
CG13116,0.513264595,5.811887123,0.021235286,0.083143053
mbc,0.423585933,6.661062987,0.021238296,0.083143053
Usp10,0.92272905,6.069122585,0.021262906,0.083193432
CR17025,0.886273882,1.047704867,0.02126875,0.083193432
CG8481,0.451457055,6.598203894,0.021340767,0.08342624
AANATL2,0.71665044,4.158805566,0.021345902,0.08342624
Nox,0.913740401,0.756501825,0.021380064,0.083519935
Ip259,0.406966777,7.968762354,0.021394194,0.083519935
CG40470,0.998439924,1.068733737,0.021403542,0.083519935
CG18675,0.869631701,1.163042814,0.021405183,0.083519935
conv,0.805833257,1.883602724,0.021436156,0.083593333
Octbeta2R,0.764540182,3.960233639,0.021441663,0.083593333
Art1,1.017095109,5.066794177,0.021474655,0.083656097
CG8858,0.599403616,4.993910393,0.021475445,0.083656097
CG15544,1.168758771,0.891476886,0.021504048,0.083733044
Gen,0.991018677,2.719099315,0.021528625,0.083794261
beat-IIb,0.756697136,3.171945243,0.021572764,0.083931536
ca,-0.427788293,6.688516699,0.021590698,0.083966785
Pbp95,1.196101352,2.881883268,0.021604159,0.083984617
mth,0.595914603,4.928267468,0.021626358,0.083990386
CG12605,-0.504839419,5.811565918,0.021627311,0.083990386
CG5642,0.418799585,7.984862269,0.021632273,0.083990386
CG32750,-0.811136635,2.225439464,0.021737098,0.084362763
CG15772,-0.760882034,3.481569766,0.021773415,0.084469068
CG9095,0.748298966,2.881683589,0.02180596,0.084534543
scf,0.622449959,4.744153997,0.021808161,0.084534543
GstT4,0.502000439,7.183235307,0.021822001,0.084553553
Jabba,-0.461037316,6.090949614,0.021841967,0.084596271
CG12163,0.410047496,8.177859308,0.021858851,0.084627024
elm,-0.389749657,7.680763823,0.021990331,0.085101232
Su(dx),-0.392692661,7.385269562,0.022016942,0.0851516
Spn43Ad,0.774261313,2.492798768,0.022021345,0.0851516
4EHP,-0.40909041,7.229163875,0.022052769,0.085238276
Dscam1,-0.49398609,5.879826162,0.022121813,0.085441149
CG34261,1.523037267,1.722508375,0.022123316,0.085441149
Axs,0.787310948,2.614847956,0.022199698,0.085701161
CG12105,0.903864897,1.260339474,0.022344079,0.08622336
FucTC,-0.863199665,1.525182135,0.022408209,0.086435578
Mipp1,-0.405121262,7.561700378,0.022423553,0.08645952
insv,1.309049653,4.524410868,0.022436242,0.086473207
CG10713,-0.753148719,2.957297196,0.022518004,0.08671522
puc,-0.444092471,6.2479481,0.022523941,0.08671522
CG31710,-0.591467226,4.959600794,0.022526528,0.08671522
CG11897,0.828376753,5.705057368,0.022591309,0.086929225
CG12301,1.293677062,3.697798641,0.02260934,0.086963243
Fib,1.25681732,4.626204268,0.02262139,0.086974235
Lk6,0.381168159,10.21929099,0.02264838,0.087042635
CG16959,0.977576933,0.609996518,0.022856528,0.08780693
CG3097,0.544865575,5.325960123,0.022868242,0.087816278
PGRP-SB1,0.921607543,1.068690631,0.022905185,0.087922457
FASN1,-0.401692069,8.733979916,0.022978131,0.088166697
CG34297,0.76991378,2.309565743,0.02305176,0.088413356
CG9780,-0.844213287,2.017155027,0.023087306,0.088498294
CG9705,0.589812591,6.720551033,0.023092611,0.088498294
Gapdh1,-0.395460408,9.361174003,0.023174185,0.088774953
RpL19,0.441957132,9.675866078,0.02328952,0.089180671
Ir21a,0.740127544,3.258635058,0.02336373,0.089428645
mwh,0.814959453,2.382304732,0.02338352,0.089435693
CG9447,0.435130493,7.043641522,0.023384475,0.089435693
Ets98B,0.535959751,5.503987336,0.023496334,0.089827196
CG43707,0.848621814,1.388014799,0.023523824,0.08989597
grn,0.94089989,2.213416697,0.023571671,0.090042451
ebi,0.787417312,6.368668511,0.023664643,0.090361119
IKKbeta,0.68317018,4.296543584,0.023711092,0.090482667
Manf,-0.457543334,6.144511949,0.023715601,0.090482667
beat-VI,0.746416121,2.700372604,0.02383374,0.090896753
Act79B,0.941797342,8.746494791,0.023848199,0.090915252
Rpt6,-0.394549078,7.210203647,0.023877981,0.09099213
CG11529,0.802712889,4.322573941,0.023905282,0.091059493
CG44836,0.641123315,4.691734982,0.023975306,0.091289477
Mabi,-0.869043085,1.200986545,0.023992068,0.091316553
CG42367,-0.860121345,1.319650427,0.024056277,0.091524122
CG33062,0.774643297,1.722508401,0.024079622,0.09157612
Gale,-0.539476703,5.251579907,0.024100605,0.091619094
CG13618,0.856330666,0.863107304,0.024144873,0.091750517
Sema2a,0.995146286,5.467736858,0.024194215,0.09188638
Pgam5,0.984636075,3.877040383,0.024200048,0.09188638
CG13196,0.90333495,0.90879121,0.024215072,0.091906543
Cyp12a5,0.564821256,5.386020537,0.024234713,0.091944207
CG15143,0.686082624,4.300464804,0.024254453,0.091982218
Spn47C,-0.557571459,5.606534808,0.024369871,0.092382899
foxo,0.421696105,6.632240903,0.024380078,0.092384582
CG6971,0.74721548,2.799826715,0.02441981,0.092498097
CG9062,0.839878521,4.999885354,0.024480194,0.092689713
Ggamma30A,-0.403051066,6.842777781,0.024559801,0.092933214
Hsp60B,0.957615388,0.099831939,0.024564148,0.092933214
Ranbp9,1.072506511,4.85061308,0.024582786,0.092966555
CG16947,0.61694782,4.778278781,0.02459467,0.092974338
Cpr62Bb,0.72845287,4.544594785,0.024609109,0.09299177
CG2993,-0.562721805,5.404980928,0.024624818,0.093013982
CG16820,0.781085737,2.130101985,0.024642578,0.093034351
CG3040,-0.56443666,5.238875469,0.024649875,0.093034351
CG17107,0.797790557,5.375438955,0.024696029,0.093171382
eIF3-S9,0.445989896,8.009779465,0.024772578,0.093422931
CR43144,0.857025607,1.632213741,0.024825519,0.093549347
in,0.76381263,2.983239055,0.024825873,0.093549347
Best2,0.396326833,7.00309982,0.024842754,0.093575694
T-cp1,-0.432372599,6.568693192,0.024866593,0.093628215
CG9626,0.931294312,2.342427955,0.024881582,0.093647388
Uev1A,0.508244154,7.601147416,0.024915467,0.0937133
CG31495,0.931185063,2.841633519,0.024918903,0.0937133
RpS7,0.423945428,9.826522036,0.024952408,0.093800221
CG7203,0.926337429,4.817503276,0.024961843,0.093800221
CngB,-0.440575307,6.253782973,0.025045129,0.094075828
HmgD,0.868640873,6.995347125,0.025059061,0.094090807
Caf1-55,1.137097075,5.634223714,0.025071874,0.094101576
cher,0.704964959,6.277182472,0.025089862,0.09413175
PP2A-B',-0.378680986,7.540629631,0.025119008,0.094203746
CG13026,1.132788461,2.164913445,0.025220009,0.094533642
CG42331,0.921954042,0.3029226,0.025233927,0.094533642
Acox57D-p,-0.456470101,6.020954389,0.025242358,0.094533642
CG2556,-0.57271886,4.986168016,0.025246937,0.094533642
tobi,0.76889175,2.398469749,0.02526293,0.094556108
Sam-S,0.643041747,7.468942347,0.025344992,0.094825745
dpr8,-0.637506609,4.550416686,0.025378215,0.094912518
Sap47,-0.37764986,8.710123202,0.025431568,0.095074476
CG5554,0.470024091,6.497782688,0.025558525,0.095480367
Schip1,-0.53707531,5.237126991,0.025560322,0.095480367
Pfdn6,-0.449102603,6.174009629,0.025577598,0.095507196
Uhg3,0.737178167,2.637229621,0.02561308,0.095601957
CG15125,1.030788414,0.045026315,0.025636216,0.095650582
Hel25E,0.710181313,7.482127683,0.025723817,0.095939598
CG9416,0.839472683,4.443150657,0.025744546,0.095979077
l(2)35Bd,1.15879166,4.016614413,0.025770555,0.0960382
CG1542,1.104007987,4.362777564,0.025862573,0.096311924
sbb,0.549037976,6.792026275,0.025864363,0.096311924
CG14518,0.783385626,3.63361908,0.025950611,0.096595077
l(1)G0289,0.460774051,7.705992698,0.026000086,0.096741178
CG9636,-0.398038571,6.792957077,0.026032068,0.096822102
rb,0.506542079,6.043787379,0.026055961,0.096856756
OstStt3,-0.406592437,7.382937189,0.026061858,0.096856756
esn,0.553050604,5.162609001,0.026168044,0.097213204
Ostgamma,-0.43864971,6.490762595,0.026179706,0.097218359
bic,0.396960684,8.666923571,0.026200394,0.097257012
CG17075,-0.530006626,5.488365728,0.026218261,0.097285171
Pfdn4,-0.512929619,5.58969483,0.026287866,0.09750521
MtnE,-0.760897749,2.701751329,0.02632793,0.097615545
CG31381,0.990565208,2.3169171,0.026375026,0.09775186
CG8814,-0.38580056,7.321734259,0.026435581,0.097937929
CG10365,0.519303475,5.362103707,0.02646476,0.098002213
CG6685,0.955975854,3.17100291,0.026478773,0.098002213
Vps28,-0.462262376,5.947292389,0.026484005,0.098002213
Ndfip,-0.406818719,7.048951546,0.026500318,0.098024241
Doa,0.445888208,7.189826939,0.026525899,0.098074047
nrv3,-0.381855697,9.960499531,0.026534513,0.098074047
CG9171,0.518928175,5.58132494,0.026558807,0.098116546
Osi5,-0.797679019,2.335238816,0.02656675,0.098116546
CG31636,0.849449939,0.983144639,0.026635715,0.098296742
CG9109,-0.774775081,2.049036751,0.026636319,0.098296742
obst-E,-0.459257917,6.44718814,0.026675783,0.098403998
CG32280,0.390765046,6.947907792,0.026700512,0.098456838
CG34404,-0.515072549,5.484430703,0.026783135,0.098705735
kat-60L1,-0.73267776,3.340168489,0.026788874,0.098705735
CG14965,1.473571379,3.242065176,0.026833191,0.098828817
emp,0.395177972,10.19212024,0.026843168,0.098828817
Sec15,-0.478211295,5.841876794,0.026865328,0.098871932
CG5937,-0.504833223,5.569163071,0.026947846,0.099137059
PSR,0.78110569,5.210249387,0.027048523,0.099468761
sNPF-R,0.522606857,5.546309872,0.02707672,0.09953377
Rbf2,1.173729767,2.168201619,0.027177602,0.099865814
sli,-0.425929529,6.439218457,0.027240004,0.100056258
ChAT,-0.398182329,6.696457322,0.02730149,0.100243189
muskelin,1.044728258,4.899522745,0.02736921,0.100452857
RtGEF,0.522891393,5.845551939,0.027466536,0.100736343
CG34396,0.980706674,2.87695696,0.027467741,0.100736343
Elo68alpha,-1.034289257,0.997986058,0.027593927,0.101152057
CG5001,0.61718449,5.102384023,0.027602474,0.101152057
CG6287,0.392916702,8.255913965,0.027647414,0.101273572
eIF4G2,-0.44632741,6.104172508,0.02765704,0.101273572
esc,0.816510186,1.74402686,0.027725236,0.101484018
not,0.975267385,4.673754531,0.027741925,0.101505838
CG14655,0.946992695,2.609392877,0.027772913,0.101565636
CR46065,0.811117166,1.399403207,0.027779736,0.101565636
Ir75b,0.495274445,5.630939174,0.027811876,0.101629105
CG11505,-0.444764232,6.512816428,0.027818578,0.101629105
Set,1.030950247,6.09800866,0.027829403,0.101629414
CG13377,0.903463251,0.543817561,0.027872499,0.101747524
fbp,1.277243088,2.101001489,0.027997956,0.102166087
CG7728,1.006708824,4.830716808,0.028107815,0.102527427
a10,0.37951291,13.81576752,0.028163955,0.102692618
CG13930,0.777307807,1.859779053,0.028196429,0.102771423
l(2)k09022,1.142180033,4.444708663,0.02822728,0.102844251
Cerk,-0.369404011,7.948117509,0.028286339,0.103019763
CG7560,-0.788519833,1.620039232,0.028321497,0.103108122
CG33090,0.528758614,5.287365248,0.028437259,0.103489749
CG14561,1.23450913,2.386098018,0.028557412,0.103856754
sqa,0.983331452,4.636463798,0.028563763,0.103856754
Hlc,0.476790277,6.834840021,0.028571035,0.103856754
Rlip,-0.480389999,5.659364671,0.028648203,0.104097271
ome,0.515256007,5.368137683,0.028683681,0.104186177
sktl,0.435293324,6.083193028,0.028748704,0.104382284
CG31300,0.662579987,4.579545769,0.028895015,0.104873278
bru1,0.638366553,4.503858685,0.029074816,0.105485396
Tsp42Ej,0.428822232,6.506033472,0.029129456,0.105643126
CG15715,0.541352678,5.923869535,0.02920433,0.10587409
Csl4,0.834948584,3.852866662,0.029225001,0.105908449
CG12766,0.796404695,1.398898067,0.029281745,0.106073458
AhcyL2,0.699405775,4.277074104,0.029352246,0.106288155
CG1578,0.526042784,6.184372936,0.029383648,0.106361164
corto,-0.413711689,6.740374222,0.029508905,0.106773712
heix,0.952581746,4.126542882,0.029716267,0.107482918
CG6321,0.806880672,3.940194781,0.029763487,0.107612578
CG17378,-0.502452388,5.512460409,0.029798651,0.107698563
Shaw,-0.71802028,3.310312695,0.029840777,0.107803778
Gapdh2,-0.365150457,9.756557929,0.029856606,0.107803778
RpL4,0.426630258,9.917002731,0.029872098,0.107803778
fat-spondin,0.558328393,4.925035531,0.029873336,0.107803778
CG42656,0.657403417,4.476708605,0.029952173,0.108047068
CG18507,0.375304686,7.528838986,0.029977077,0.108095693
CG33493,-0.740009844,2.406746195,0.030007102,0.108162744
Tango4,0.874338878,4.764985396,0.030043793,0.108225402
SNF4Agamma,0.3943675,7.748480763,0.030047361,0.108225402
CG32815,-0.445158696,5.901348625,0.030129751,0.10848086
CG4949,1.201051034,3.935243839,0.030152691,0.108522163
CG14191,1.139562273,1.230014139,0.030173513,0.108538964
exp,-0.766869201,2.768023761,0.030180302,0.108538964
CG17593,-0.432597557,6.125453595,0.030220078,0.108631763
CG12736,0.588510295,4.851818981,0.030229067,0.108631763
Pep,0.475714281,8.666219871,0.03054256,0.109716666
pygo,0.928742849,5.597417295,0.030554653,0.109718455
msk,0.530920953,6.813975717,0.03063254,0.10995641
Rbf,-0.457380511,5.782691367,0.030645317,0.109960556
CG4789,-0.445110008,6.177558211,0.030664726,0.10998849
CG12909,1.15801524,3.4040271,0.030714109,0.110123874
Rbsn-5,-0.555632124,4.92567024,0.030731358,0.110143979
TAF1B,1.055464619,3.883561021,0.030765593,0.11018949
Tektin-C,0.509383276,5.529963786,0.030767346,0.11018949
COX7A,-0.358629638,8.705117161,0.030805136,0.110283086
CG15098,0.371844488,9.441937572,0.030830514,0.110332194
gammaSnap2,-0.701362466,3.756466151,0.030845843,0.110345319
CG33757,1.190180425,-0.045878109,0.030990045,0.110819278
let-7-C,0.804896482,1.463745422,0.031017792,0.110876596
ValRS,-0.46296356,5.715456762,0.031103861,0.111142271
CG17528,0.444627881,6.699811896,0.031175715,0.111356971
Membrin,-0.646739302,4.274451837,0.031254113,0.111574655
CG14215,0.646242035,5.911565256,0.031260242,0.111574655
CG45049,0.437716277,6.046997839,0.031368501,0.111889519
pigeon,-0.650760846,4.164461046,0.031372109,0.111889519
CG5510,0.649818345,5.38872145,0.031524179,0.112332656
betaTub56D,0.550138757,10.32361898,0.031530455,0.112332656
PrBP,-0.483629159,5.809481039,0.031531973,0.112332656
Bre1,0.787708283,5.882127142,0.031565636,0.112410257
CG11307,0.957731897,4.238823999,0.031654814,0.11263004
CG14589,0.742905091,1.948004912,0.031657035,0.11263004
Pka-R1,-0.354774132,7.739688987,0.031663064,0.11263004
CG8353,-0.731539371,2.079049209,0.031733925,0.112815808
Uch-L5,1.130358564,5.059108183,0.031748974,0.112815808
CG32856,-0.66474673,3.989351439,0.031751056,0.112815808
Rbp,-0.428994024,6.994189942,0.031792011,0.112918924
atms,0.612369998,5.425615504,0.031811098,0.11294432
CG15545,0.696135219,2.622349467,0.031853551,0.113052624
CG3505,0.485919817,5.690831858,0.031921436,0.113251079
robo2,0.796153869,1.473546453,0.032061437,0.113705142
CG11318,0.885910498,0.472062235,0.032095452,0.113783126
Arp8,0.880114535,4.2335176,0.032218168,0.114175396
Obp58c,0.862735012,0.637982327,0.032312615,0.114439124
CG10555,0.779503082,5.529837324,0.032316776,0.114439124
SelD,0.902321978,5.715409062,0.032364925,0.114563302
Unc-89,0.694674878,6.798836117,0.032376059,0.114563302
CG7414,0.370702242,8.425136327,0.032411319,0.114645195
Bgb,0.636239265,5.366978393,0.032436905,0.114692824
Ddc,0.575611191,5.500808741,0.032681352,0.115488417
CG1814,0.410004501,6.300853337,0.032686322,0.115488417
NPF,0.760608603,2.23456351,0.032707518,0.11552017
Dop2R,0.85599532,1.08408435,0.032736069,0.115577866
NetA,1.023586107,0.100888734,0.032754137,0.115598526
GEFmeso,0.46952963,5.648452492,0.032789886,0.115681543
bt,0.83459886,7.814488671,0.032930265,0.116133495
CG7091,0.801973657,1.254255501,0.032952052,0.116145767
CG18302,0.389808405,7.96870909,0.032965069,0.116145767
CG5335,0.63614184,4.383455844,0.03297057,0.116145767
Dbp73D,1.104874451,3.442820103,0.032988982,0.11616738
elB,0.494051532,5.509097304,0.033032841,0.11627855
HP5,1.046048877,5.571692952,0.033131525,0.116573687
fd96Ca,0.654123493,4.165247018,0.033141325,0.116573687
RNASEK,-0.369816395,8.212706999,0.033295742,0.117046981
Sk1,-0.385743092,6.882583371,0.033300621,0.117046981
GLS,0.76258662,4.382732022,0.033355189,0.117195248
l(1)1Bi,1.206049046,4.29045198,0.033372846,0.117213759
CG2199,1.120639632,4.611152285,0.033501712,0.117622708
CG6540,1.338066412,3.91331872,0.03354075,0.117716089
CG15436,1.133935166,2.740648628,0.033666653,0.118114154
caps,0.452963421,5.954409582,0.033693362,0.118164045
Pex6,-0.478724792,5.642517259,0.033731334,0.118253383
geminin,1.059163567,5.775220418,0.033756623,0.11829821
loh,0.675435699,4.054579366,0.033839077,0.118543261
Syp,0.377000379,8.550457782,0.033931251,0.118822168
Dhc98D,0.725087811,3.418848684,0.033991466,0.118988995
Mrtf,0.565403771,5.077060394,0.034016615,0.119032991
CG9920,0.751040607,2.081402696,0.03406035,0.119139901
CG5033,0.993545754,4.800204731,0.034072349,0.119139901
Lerp,-0.401864161,6.398950238,0.034263456,0.119763879
CG31898,1.142774886,2.392015241,0.034343909,0.119964974
GstO2,0.393985691,6.778719132,0.03435592,0.119964974
Trip1,0.410962244,7.664875401,0.034359023,0.119964974
CG4945,0.915642734,3.610594134,0.034396272,0.120050728
CG7510,0.412371678,8.779734119,0.034599119,0.120714183
Zip71B,0.738114551,2.188260394,0.034695646,0.120977391
CG7985,0.620325378,4.427062148,0.034700131,0.120977391
GstE14,0.93450297,0.270287756,0.034737918,0.121064525
Acer,0.98055639,3.794087677,0.034764291,0.121111827
dlt,1.01551156,3.77178682,0.034777713,0.121113995
Jra,-0.398299792,6.654148807,0.034803662,0.12115977
CG8249,0.755242125,2.672479997,0.034864468,0.121326809
CG5273,-0.360191064,9.965315826,0.034917613,0.12146708
CG13097,1.0789307,4.36567834,0.034960217,0.121570588
DNApol-alpha180,0.776621177,1.943386614,0.035036923,0.121792567
CG5326,0.910073502,2.873475654,0.03506226,0.12183588
ppan,1.018347822,3.995591112,0.035115607,0.121941017
CG43394,0.390396936,6.711348753,0.035118291,0.121941017
CG13894,-0.688274815,2.816762494,0.035258804,0.122341584
Pka-C3,0.402090762,6.735609482,0.035259512,0.122341584
CR45923,-0.820539057,2.266968844,0.03528391,0.122381361
CG12877,0.772596558,5.285719611,0.035308158,0.12239859
CG4596,-0.673587189,3.929338298,0.035314749,0.12239859
Usp39,1.106459706,3.934576347,0.035328144,0.122400184
CG8311,0.522423202,5.17579884,0.035387107,0.122559592
Bap60,0.744902978,6.414364897,0.035452444,0.122740955
pcs,0.396110262,6.564448403,0.035656761,0.123394961
Hmr,1.174825658,4.326020308,0.035667429,0.123394961
CG14057,0.786319091,2.506840208,0.035737567,0.123592419
DnaJ-1,-0.348482757,7.80454436,0.035785539,0.123713106
pAbp,0.361649052,10.3115583,0.035818066,0.123780328
smal,-0.470366704,5.606635498,0.035842651,0.123820065
PRAS40,0.549082049,4.897084422,0.035917293,0.124032637
CG4723,0.697837562,2.920965834,0.036091548,0.12458892
CG5597,0.630472394,4.735069558,0.036167956,0.124781231
