symbol,PN_36h_rep1,PN_36h_rep2,PN_36h_rep3,PN_adult_rep1,PN_adult_rep2,PN_adult_rep3
Calr,10.62124141,10.50401637,10.5666176,8.560514943,8.162499235,8.34151317
Rab3,10.7724291,10.67319167,10.61948383,11.94392985,12.02932588,11.98072324
scw,0.174348395,0.490874211,0.075540634,0.582479838,0.043373527,0
btl,0.254209339,0,1.727485453,0,0.126394328,0
RpL7,8.883755839,9.172242105,9.275745754,7.987325979,8.062444965,8.029439719
yem,4.557274355,3.913566054,4.133958049,3.658802769,3.568686387,4.918227055
Sox14,3.457771073,4.25063416,3.687065381,1.497677144,1.301584745,0.93342433
Sox15,0,0.158077041,0.343441058,0.099039483,0.482093952,0
trpl,0.292540976,0.158077041,0,0.033774261,0,0
msl-2,6.535754721,6.26828243,6.423355035,6.887996946,6.628941872,6.420151064
msl-1,2.298032348,2.93704999,2.918045209,2.053226971,2.936123263,1.705851653
Hdc,1.580650349,0.041172495,0,1.88763644,2.276678885,0.229126454
Psc,6.226768932,6.19606436,6.278023419,4.738772272,5.345056681,5.577254693
ple,1.699531977,2.114106622,1.385527878,2.402529768,0.482093952,0.102682134
robo1,9.071474469,8.646306402,8.506141646,8.424108172,7.963953257,7.911660058
faf,7.609693788,7.60791441,7.342708451,7.167754292,7.162463061,7.205561972
fln,0.214831388,0.231061681,0.403305984,0.46360926,0.714518384,0.069260254
nvy,5.610267277,4.862016605,4.755839864,4.026943055,4.548573234,5.203638997
slbo,0,0,1.195435982,0.033774261,0.043373527,0.035045714
Eip63E,5.08664461,5.08265529,4.747202715,5.299115418,5.309967945,5.092620631
wdn,5.374876628,5.178032051,4.961485785,4.719445304,4.828205838,4.793300597
Pabp2,6.194869518,6.25303033,6.228203849,5.018303885,5.126768551,5.25098607
Rox8,6.971965937,6.746330157,6.794912485,6.329934986,6.609232401,6.237100476
PCNA,3.575147986,4.012631852,3.889011294,3.023202149,2.103074201,2.352309697
Ets65A,1.231907565,0.924055416,1.126066663,1.625004195,1.190217021,1.04077981
Ets98B,0.292540976,0.879346663,0,2.053226971,0,0
Ets21C,0.771040734,1.128912832,0.718149104,0,1.090356876,0.646672929
Crys,0,0,0,0,0.543803643,0
bt,1.064789212,1.090202596,0.516062327,2.209162262,0.450220187,2.043638334
Cyp4d1,0,0.158077041,0.764538089,0,0.043373527,0
Vha55,9.571999416,9.475450796,9.383593661,10.77374698,10.68494139,10.56525366
spi,9.255632341,9.429430466,9.465626146,8.507414528,8.782393455,8.757106457
GluProRS,5.142801249,4.813827022,4.844888579,4.589215608,4.916874938,4.32247043
dac,0.925378394,2.09468167,2.376555991,2.538141418,2.338925554,2.646648315
pie,4.78607905,5.154772451,4.966455437,4.705105807,4.964191721,4.704931372
Aef1,5.550232626,5.15125094,4.94898624,6.680778729,6.879856609,6.949273469
gcl,5.749396064,5.543920162,5.50980971,6.69272049,6.547493841,6.572540679
DNApol-alpha73,2.441399601,3.411461341,2.876406888,3.255637123,2.615294494,1.350002208
noc,6.010255725,5.80448422,5.862853539,5.348597228,5.469525125,5.584665808
Con,8.708341812,8.24635767,8.219954115,7.762175179,7.57920814,7.655523585
PpD3,6.547689645,6.740483033,6.505033728,5.873561475,5.9155883,5.923106442
PpD5,0.292540976,0.158077041,0.280984078,1.127194515,0.573696073,0.895787384
PpD6,0,0.158077041,0,0.033774261,0.315178801,0.035045714
betaCOP,7.671448714,6.814336299,6.944076947,6.576863813,6.836592605,6.437036115
hbn,1.641315334,1.611375695,0.075540634,1.17338058,0.602981688,1.592790272
E5,0.567258051,0.041172495,0,0,0.043373527,0
lbl,0,0,0.075540634,0.066775902,0,0
CanB,10.29303555,10.5047352,10.49775543,10.12709437,10.22827646,10.26749329
CanA1,0,0.430174687,1.015327048,0.19171458,0,0
Cyp4g1,0.292540976,0.081202514,0.516062327,0.066775902,0,0.035045714
GstD2,0.366277874,0,0.147321929,0.099039483,0,0
GstD3,2.441399601,3.062334242,2.844370035,0.306690511,1.209385607,1.074860222
GstD4,0,0.041172495,0,0.033774261,0,0
GstD5,0.045601845,0.520292387,0.403305984,0,0,0
GstD6,0,0.041172495,0,0.033774261,0,0
GstD8,0.771040734,0.80957322,1.414910112,0,0,0.553062079
Itp-r83A,3.15899495,3.528283795,3.528089392,4.522386519,5.024959444,4.610794045
Jhe,1.150766861,0.632309912,0.215700384,0.889646124,0.043373527,0.755742239
Jheh1,0,0,0,1.247216179,2.211624936,1.20365991
RpL23,8.303060406,8.314324699,8.358247132,7.118928428,7.24228007,7.41357685
gammaTub37C,0.089806327,0.158077041,0.569299184,0,0,0
Acon,9.040839043,9.157690282,9.11048331,10.07880866,10.29442466,10.44530278
comm,7.744561114,7.749139516,7.632597011,6.974233576,6.846192011,6.68023658
dpn,0,0.041172495,0.215700384,0,0.204896494,0
hdc,5.783440745,5.974198082,5.8002127,6.360200505,6.600183757,6.634908926
hig,4.726075199,4.645486827,3.970425371,6.214571672,6.30398136,6.83708581
RpA-70,5.409079973,5.354793204,5.391009969,5.15406004,5.272866041,5.627633035
Wnt5,4.736540434,4.538127753,4.575689561,4.363795583,4.210926427,4.681621077
Gyc32E,1.064789212,1.624980653,2.097309615,0.066775902,0.35014255,0.400167095
RpS15Aa,7.851736468,8.229340714,8.104945066,6.451274931,6.578232611,6.403904177
Sod2,8.496472834,8.643593694,8.688065782,8.012952693,8.10688518,8.203918523
alpha-Cat,7.579250185,7.738422588,7.726399862,6.337983591,6.859145539,6.511637039
ATPsynbeta,11.93783918,12.1306855,12.29219516,12.35028893,12.35225694,12.26347279
Dbp45A,4.594186888,4.263738885,4.30456873,3.997292564,3.847856687,3.592777497
Nmdmc,3.034472531,3.717965346,3.625560804,4.010074607,3.424399841,3.630503376
Galphaf,1.434040296,0.80957322,0.460785459,0.334057725,0.315178801,0.373031704
Gel,3.787991105,3.839644625,4.06612905,4.00156584,4.303030224,4.359232632
GstS1,3.729815473,3.423189278,3.867919088,6.606974795,6.320603957,6.682310577
HmgZ,8.697446061,8.784657382,8.791799705,8.514440327,8.425718949,8.383759278
Klc,7.281653079,7.387181799,7.51879936,6.532885972,6.56154725,6.500709454
Lac,4.176678909,3.919098475,3.644289046,1.331102989,0.867152957,1.188174903
Lcch3,7.917216595,7.953348568,8.000402815,7.423433264,7.259624656,7.463473284
Mdr50,0.687203533,0.041172495,1.126066663,0.161479554,0.204896494,0.102682134
Myo61F,0.045601845,0,0.215700384,0,0,0.035045714
Parp,5.581530042,6.157968028,5.808539146,5.542162687,5.725625611,5.514227252
Rbp4,0.366277874,0.158077041,0.620641262,0.033774261,0.482093952,1.307636778
Rbp9,9.021980177,8.935072887,8.758700403,8.936464513,8.978799118,8.752343096
RpS13,8.302767,8.571101341,8.586011003,6.476822234,6.402522312,6.550380576
Dsor1,7.358759845,7.075356498,6.973996486,6.523630105,6.783622332,6.601324182
Ssrp,8.098867641,8.284630774,8.244199049,7.572343142,7.224135539,7.23999735
Taf4,4.911450479,4.635439495,4.90565901,4.714247417,4.906635386,5.041833704
TfIIFalpha,6.495243124,6.288192805,6.204212318,6.320131476,6.5371003,6.42635147
Trf,3.567352553,3.896840345,3.722747647,3.241253842,3.003560486,2.433355449
Uch,8.481125747,8.867290303,8.768158856,7.12481677,7.374731269,7.297504221
bys,4.986440645,5.032493207,5.222609518,4.48625017,4.135268601,4.225297105
ng4,0.045601845,0.041172495,0,0,0,0
brat,8.313729071,8.030769673,7.914294677,5.954039987,6.154376624,6.16921722
hep,5.144112028,5.072761434,4.720976611,5.463802319,5.453536815,5.493903614
pigeon,7.092625066,6.876084056,6.98750495,6.138516301,6.005376466,6.310897217
corto,8.057902798,7.958730797,7.593780632,8.01863015,8.133784895,8.153355473
Cks30A,0.401779573,0.158077041,0.569299184,1.782295868,2.431618982,0.970104318
CycD,2.335231794,2.328839894,2.732131067,1.142754737,1.090356876,1.870125237
dap,1.191907582,1.918070837,1.499628432,0,0.043373527,0.478639091
CycJ,4.912989126,5.267492546,5.158913647,5.542895869,5.72062425,5.792873153
Gsc,0.715694033,0.988623391,0,0.774503582,0,0.035045714
woc,6.22429235,6.027672548,5.796031387,6.627857464,6.506431692,6.660383471
Tbh,9.07319574,8.392468475,8.31628517,7.238933165,7.710086937,7.85731805
Rac1,8.994993185,8.968306572,8.851277012,7.198557572,7.193177559,7.257954986
128up,6.858367822,6.977999,7.269703379,5.669817687,6.049256109,5.776139859
140up,5.176500332,5.539437073,5.398383817,5.414177452,5.121718705,5.484426029
Cdc42,5.026792762,5.133513283,5.20168848,4.033218219,3.762831488,3.823267279
Map60,7.886023604,7.841623408,7.934090287,6.37468669,6.368287001,6.574775297
Arf79F,8.2874271,8.532483367,8.509124798,7.479463752,7.42197053,7.643509402
CdsA,7.500334053,7.832307466,7.761491316,8.755215247,8.704739597,8.76788894
Nc73EF,7.49366575,7.720316195,7.594583333,8.848017086,8.787085876,8.917271889
Taf1,5.612162893,5.567010274,5.669180576,5.486084149,5.749557409,6.247409943
Taf5,4.741744721,4.592805709,4.519314502,3.929385175,4.784139344,3.910779046
betaTry,0.045601845,0,0,0,0.085481031,0.229126454
Akt1,3.329991867,3.592013895,3.394347403,1.668653552,1.562340969,2.729214923
AP-1-2beta,9.303416857,8.666901833,8.70358863,9.339750155,9.237670919,9.020063405
CycE,0.824342362,0.334050524,0.075540634,0.066775902,0.842809102,0.600626626
Cyp18a1,0.329880465,0.231061681,1.090089724,0,0,0.600626626
Def,0.254209339,0,0,0,0,0
Dbi,0.292540976,0.041172495,0.075540634,1.752179603,1.757286554,2.571057113
Dro,0.470264926,0.430174687,0.215700384,0,0.085481031,0
htl,1.923677036,0.685217387,2.003720007,1.602674079,1.74420253,0.600626626
Gtp-bp,6.797195366,6.410087593,6.536285833,7.091878893,6.870855592,6.739204043
Itgbn,0.743632778,1.437245771,1.015327048,1.303679131,0.315178801,1.124517283
LamC,1.983479289,1.357994016,1.526797288,1.933088642,2.80994611,2.086031671
Lrr47,5.610267277,5.790969713,5.812684416,3.359170326,3.88110941,2.685768111
Nmdar1,5.619720544,4.739165301,4.963972751,6.567166116,6.613285848,6.731880141
Os-C,0.045601845,0,0.075540634,0,0,0
Obp83b,0.045601845,0,0,0,0,0.345376129
RNaseX25,5.903624655,6.135568617,6.054731721,5.895541702,5.959412786,5.830139999
Ror,7.898504183,7.938102503,8.076497613,6.306380033,6.024442317,5.683922126
RpS9,7.453788442,7.614109872,7.710566558,6.397566223,6.603810028,6.588848069
RpL18A,9.11323279,9.357651968,9.461121875,7.809860568,7.939409064,8.064978625
RpS18,7.365237373,7.510037678,7.563352337,6.012377535,5.968582797,6.14285152
RpS19a,7.235360781,7.465597323,7.497069706,5.85124118,5.693653494,5.851800931
SerT,4.685240111,3.946446752,2.948503801,2.322809099,5.736402778,3.780021456
Sdc,9.164593888,9.026968289,9.089994359,8.242072285,8.261811908,8.256718178
TH1,6.211845264,6.14740112,6.179815058,5.821336195,5.641682728,5.531970258
Taf6,6.777904008,6.723588731,6.806044433,6.424073679,5.855258221,5.827643628
TfIIFbeta,5.299237916,5.57841821,5.646136358,4.090506579,4.565408445,4.30642384
TfIIS,6.917818185,6.88777004,7.159017903,6.084147203,5.787519634,6.364837367
TpnC73F,2.269489461,2.142762288,2.133109169,0.53610018,0.482093952,1.508021199
epsilonTry,0,0.041172495,0.215700384,0,0,0
mtrm,0.875744677,1.030117199,0.936477292,0.961599966,0.792853288,0.035045714
ato,3.705161811,3.692347652,4.373536533,0,0.085481031,0.035045714
cora,6.591105874,6.30624968,6.285996318,7.259151209,7.140473471,7.269727126
emp,1.451085688,2.189292071,0.620641262,0.833223249,0.573696073,0.102682134
mtSSB,4.202072893,4.298113787,4.377273094,4.248071837,4.137772131,3.945731563
pll,1.923677036,2.337129237,1.818247164,1.602674079,2.998059566,2.80223397
trn,6.598774347,6.602883522,6.47046828,4.776666394,4.705316659,4.931075306
Wnt4,1.782675972,1.526936274,2.477482248,1.127194515,0.24260175,1.470109264
Fkbp14,1.983479289,2.45607215,0.976440789,1.657864397,1.469991358,2.167254804
tutl,8.408810654,8.382741179,8.19476549,8.336118059,8.471839666,8.433961672
l(2)01289,0.850272436,0.736253047,0.147321929,0.334057725,0.513278718,0.229126454
NAT1,8.194645266,7.960911604,8.013667399,7.551181764,7.566023804,7.702093159
dmGlut,1.467932039,0.158077041,0.853067622,0,0,0.035045714
Dcp-1,5.439291436,5.592336031,5.712715293,4.629809569,4.307484608,4.719816254
kermit,2.970891968,2.565951338,2.491340747,2.740886725,2.018660167,1.20365991
wal,6.355691018,6.434437104,6.629311541,5.926211697,6.126916866,5.964598045
Bka,5.31678007,5.565247173,6.009703186,5.009843657,5.67481422,5.026677705
Ccs,3.33917696,3.177602739,3.75756864,3.540440658,3.887073869,3.014661476
Aldh-III,6.837858881,6.764499178,6.566057005,6.928677258,7.007511884,7.169791855
l(2)03659,0.089806327,0.266214546,1.015327048,0.099039483,0.891092845,0.669156436
Phb2,9.393038435,9.518397783,9.479707079,9.507685996,9.486046379,9.515050674
sbb,8.031762615,8.060485914,8.030078443,7.836567517,7.860517008,7.895660677
dock,9.648459678,9.146163369,9.036501947,8.0566041,8.081588974,8.179286894
Prosbeta1,8.060334754,8.107884775,8.113931046,6.114056771,6.353285383,6.590689572
Sply,5.559103866,5.096149496,5.743440027,8.101339602,8.05368858,7.857012059
lwr,7.760032201,7.948115316,8.073045914,6.937067942,6.630720362,6.640253345
l(2)05714,4.50518146,4.496177645,4.457120132,5.660389232,5.585937343,5.377551548
Hmgs,6.412271513,6.410087593,6.646444014,6.56391901,7.002026038,6.602784892
ATPsynG,8.684329175,8.705931471,8.937004278,8.938764382,8.53398019,8.856425285
CG10939,2.516193474,2.478727689,2.218904359,2.612666178,1.676941004,2.190756053
Cct5,8.85382691,8.671108829,8.75726731,6.555587493,6.408236448,6.310450309
DCTN3-p24,6.982262699,7.130050376,7.139898969,5.523710986,5.634609659,5.851800931
Sec61beta,7.862327465,8.079756235,8.045130933,6.34892521,6.123131528,6.199460765
MFS14,1.935837444,0.833207966,1.679869498,1.896842161,2.415202588,0.755742239
Nup214,4.825827994,4.55599323,4.526062345,3.417901791,3.480704987,3.636220785
l(3)01239,7.27926902,7.459677878,7.562532065,6.139970768,6.343558455,6.316694461
Srp54k,7.020947633,6.799040101,7.149763205,6.421285259,6.652768451,6.286563846
atms,6.26160594,5.895698785,5.992752936,6.1852865,6.119969476,6.125680393
simj,6.49934586,6.130808309,6.121973044,5.44038419,5.612280131,5.681850447
sqz,1.848480104,1.37419648,1.924215439,1.762288373,1.02694508,1.307636778
ppan,4.527450732,4.55776767,4.941434198,4.8543265,4.179680593,4.129234573
Xe7,7.64784868,7.638000149,7.484999048,7.908165017,8.137855105,7.989936504
Ref1,9.316628148,9.1652028,9.336746892,7.560987138,7.458478659,7.500774461
l(3)02640,4.806090412,4.212844319,4.44292734,6.89346856,6.641786525,6.763569642
TrpRS,6.274829969,6.462650733,6.624603521,5.931260567,6.231996312,6.014838799
l(3)03670,6.68864941,6.75408964,7.021330008,8.066453442,7.960068285,8.129865183
unc-45,4.920657837,4.55243779,4.839481196,5.160762611,4.582049465,4.698114413
Gug,7.449553889,7.097788427,6.701877701,7.128240569,7.20725051,7.342788679
l(3)04053,6.143365421,5.550173174,5.878756969,6.450493664,6.570377455,6.390012444
l(3)05822,4.807745564,4.684990717,4.755839864,4.590634581,4.899276668,4.807305377
sinu,4.654296966,4.344080501,4.679208556,3.586683197,3.884094722,3.857933158
Spn,7.691982788,7.758620727,7.579660587,7.813662852,7.926616678,7.947454034
msn,6.628110551,5.628244054,5.802993525,4.984161163,5.278549241,5.305824781
l(3)07882,4.905279433,4.864886091,4.639310394,4.206104492,4.364173793,4.9644095
SsRbeta,6.712701273,7.047527575,7.162811472,4.848407586,4.707003499,4.812364505
Sas-4,3.0231189,2.530246779,2.491340747,3.068714489,3.527277047,3.993284694
dia,3.658227777,3.24523244,3.287206729,5.127911575,5.223043657,5.048280706
cue,6.044351161,5.618925614,5.848119768,6.816124086,7.115923142,6.984997721
fbl,5.462593002,5.755846267,5.559989495,6.236945022,6.228477205,6.029032929
bol,7.811055169,7.919074383,7.825798749,9.126184006,9.108021556,8.981703138
pelo,7.369166024,7.440330325,7.29806949,5.855378845,5.725625611,5.692179221
blw,11.71134345,11.46234257,11.48277764,12.0568025,11.97329749,12.07049028
eff,9.374032641,9.574033561,9.60150733,7.688217824,7.825228236,7.714307
heph,6.896199395,7.158394174,7.076383444,7.306764755,7.246345832,7.156177145
jar,3.787991105,4.219585449,3.180048673,5.328327417,5.199270882,5.114289817
ox,5.43715433,5.040129612,5.269606823,6.506818413,6.089255859,6.146862256
poe,9.586354022,9.725523988,9.632127198,8.894355503,9.103786151,9.085127278
scat,4.874021933,4.967233805,4.601475531,4.944759289,4.636172799,5.247254964
ken,0.850272436,0.19503084,0.460785459,0.387282298,1.940515547,0.102682134
ms(2)35Ci,0,0,0.075540634,0.066775902,0.043373527,0
cbx,5.454163186,5.623168731,5.541792261,6.550857005,6.707301086,6.779480085
Hsp60B,1.995147922,0.300531207,1.903635333,0.19171458,0,0
Sema-1a,9.135563099,9.374865126,9.157415121,7.904604112,7.805287595,7.996619096
Sema-2a,8.185284954,8.117391073,8.180133845,6.044314039,6.363482043,5.751987415
RpL13,8.395113827,8.524225826,8.539455862,7.557000397,7.396585658,7.626735076
Dif,1.65609121,1.203350074,0.718149104,3.486582156,3.174238936,2.8765732
HLH3B,0.715694033,0.924055416,1.015327048,0.512338969,0.983067192,0.914728587
HLH4C,0.366277874,0.158077041,0.460785459,0,0.450220187,0.478639091
Obp69a,0.174348395,0.266214546,0,1.188453103,0.573696073,0.755742239
Obp19d,0.045601845,0.081202514,0,0.033774261,1.069527769,1.108154106
Obp83a,0,0.605110328,1.228908645,0.413175903,0.315178801,0.528678517
Obp84a,0.214831388,0.19503084,0,0.033774261,0.043373527,0.069260254
Obp28a,0,0.19503084,0,0,0,0
RpS4,9.616649648,9.7861462,9.938538103,8.007385617,8.272815885,8.105728539
RyR,4.596103736,4.516392987,4.559336105,6.588628706,6.529494051,6.651236134
Snap25,5.033881216,5.309171985,5.402056655,6.665037832,6.647507558,6.480590433
TfIIA-L,6.759206847,6.220914269,6.135273926,6.21641113,6.080823818,6.27698891
Taf12,7.161556634,7.336141713,7.317647667,7.442811282,7.409851878,7.518682662
Taf11,4.181793591,4.486894371,4.492003018,3.54337465,3.088836921,3.314769152
a10,0,0,0,0.306690511,0,0
a5,0,0,0,0.033774261,0,0
l(2)efl,1.345654897,1.638458511,1.293610521,1.344621878,1.388243933,1.023432869
l(2)not,5.747672557,5.66657281,5.869501286,4.774170851,5.800218346,4.759647735
babo,5.195589948,5.217855264,5.275625562,6.046383742,6.015621639,5.781954143
Rsf1,9.332165517,9.32754587,9.242714485,8.086832765,8.005497468,8.189773355
Uch-L5,8.28193006,8.230314564,8.310189715,6.602058368,6.647946699,6.691263599
l(3)j2D3,3.287919547,3.685871515,3.541472396,3.200944058,3.19361957,3.453999721
OstStt3,9.243071624,9.016280445,9.146782567,7.032559473,7.202176126,6.816145874
ND-ACP,8.247891072,8.52569981,8.504647753,8.38681991,8.340125725,8.41423544
ND-SGDH,7.832555813,8.1506928,8.199258139,8.6808076,8.821654859,8.869681614
Set8,5.301589231,5.041398426,4.931302918,4.669292503,4.414596026,4.196563625
l(3)neo43,4.779346434,5.042666124,5.163248654,5.537755753,4.840552936,5.600106323
Ssdp,7.948499813,7.31400224,7.079253792,7.546253972,7.730134074,7.698169623
SrpRbeta,7.074521286,7.236080547,7.313753229,6.269646195,6.218459532,6.055409642
etaTry,0,0,0,0,0.043373527,0
zetaTry,0.089806327,0.041172495,0,0,0,0
Acp36DE,1.565076965,2.417503913,0,0.713292167,0,1.91784782
Smyd3,5.603612941,5.79172385,5.872151832,5.508027072,5.255680867,5.145694335
can,0,0.231061681,0,1.668653552,1.881987279,0.400167095
cpb,6.487518905,6.650223297,6.619880087,5.268413353,5.091042703,5.470091878
caz,1.755490258,1.940006276,1.773579932,1.67936262,2.092788633,2.127214766
Cdc37,7.881708348,7.930418623,8.054204328,6.973689903,6.883217564,6.642740648
Cyp4d2,0.174348395,0.430174687,0.343441058,0.512338969,0.602981688,0.16728912
Ms,3.507504182,3.355433935,2.435089642,5.058851619,5.864356771,5.599374795
Dop1R1,7.417392252,6.557489262,6.598431143,7.306980575,7.775855038,7.35973449
Trp1,7.495207327,7.744083253,7.767554413,6.998756425,7.036981486,7.087933452
e(r),6.299744124,6.478662305,6.460815778,5.995872483,5.499033854,5.447507315
Elk,3.482851919,4.022945283,4.395812096,5.702340332,5.115381438,5.310301956
fng,2.371496125,1.291300791,2.185196033,1.384434689,0.513278718,2.017591203
fra,6.239701694,5.937187354,5.912624525,5.576225686,5.540304112,5.724072008
fzo,0.598192202,1.14788529,0.280984078,0.221328946,0.126394328,0.951880893
ine,2.210651584,1.109687544,0,2.101802308,2.816211499,1.908428757
Iswi,6.071472387,5.933775181,5.548436024,5.18350929,5.224222075,5.465282003
Klp3A,0.949569261,2.014255748,1.414910112,0.306690511,1.928998307,0
La,7.443444862,7.531190467,7.341274409,7.435723036,7.480589305,7.21585985
lark,9.749552637,9.597998385,9.597007997,8.946612036,8.888217056,8.867708507
Zyx,6.386475479,6.931538344,6.66719591,5.84173886,6.045261131,6.199460765
Mad,4.895973086,4.851928217,4.642418964,4.830503734,4.748545982,5.081138866
mas,0.470264926,0.549122661,2.55870404,0.033774261,0,0
Med,7.244249987,6.131999859,6.175529618,6.429634401,6.505947284,6.676079622
Mef2,3.7778938,4.164753286,2.948503801,7.81016512,7.931314388,7.844873222
Mlh1,2.898178234,2.104426839,2.463489333,2.735765654,2.239865136,3.21896392
Pms2,3.925452123,3.761730055,3.920082447,3.706700307,4.112539163,2.942662077
Moe,8.444357626,7.803245426,7.815163159,8.197601336,8.074255926,8.096296735
msi,7.292923869,6.83350595,6.898001035,7.190391859,7.012976949,7.071147577
Mvl,4.947932503,4.653806482,4.858319024,4.396614694,5.217137087,4.988076138
insc,0.089806327,0.430174687,0.516062327,0.066775902,0,0
Nos,4.034078348,3.56403637,2.958515421,4.561986507,4.727093231,4.246010468
pav,0.973361179,0.549122661,0.403305984,0,0,0.317180035
Pdh,0.996767095,0.266214546,0.516062327,2.259987662,2.877412853,1.879796878
EbpII,0,0,0,0.033774261,0,0
EbpIII,0.045601845,0.36680871,0.460785459,0.53610018,1.246975234,1.495494259
repo,0.949569261,0.901874222,0.809481815,1.063219023,1.228302843,0.857142206
RnrL,2.159717845,1.950850182,0.809481815,1.142754737,1.501435987,0.600626626
RnrS,1.363770477,1.030117199,0.569299184,0,0.085481031,0
rost,1.886568446,1.090202596,2.133109169,0,0.043373527,0
rpr,2.964970524,3.539102905,3.34940061,1.646993946,1.74420253,1.830776958
Syx5,8.135245054,8.399535636,8.459316512,8.140497252,8.234002193,8.081181203
1-Sep,8.456674121,8.364228759,8.159396996,5.654973749,5.803375636,6.180510705
Snr1,7.174443277,7.334331245,7.325405147,6.52214364,6.483486844,6.33921517
Tig,0.687203533,0.231061681,0.075540634,1.545288185,0.279346616,2.026325936
byn,0.174348395,0.19503084,0,0.19171458,0.714518384,1.108154106
twin,6.998296294,6.571170295,6.452869956,6.782994021,6.748835123,6.955575124
tsr,10.57676561,10.84185557,10.89502951,7.127507582,7.050331325,7.164361379
Wee1,6.865537222,6.925710017,6.73210231,7.052776442,7.093529361,7.011634548
wts,2.625340219,2.369818376,2.150681236,2.396052074,2.26756314,1.748706671
alpha-Man-IIa,7.549634763,6.925022781,7.021330008,6.072007567,5.68853986,6.379398625
Arp6,6.402994189,6.550822539,6.743003775,6.038607,5.885366193,5.871930455
Arp2,6.141397787,6.100086423,6.245683765,5.908684642,5.829162949,6.091233005
Arp53D,0,0,0,0,0,0.035045714
Arp1,7.504167178,7.438886798,7.595385587,6.6031133,6.566666059,6.502666889
ana,1.345654897,2.152189073,1.861572885,2.810736085,2.02948601,2.691271057
Ank,6.008097767,6.222593095,6.347289081,6.479122439,6.392598819,6.378119704
PhKgamma,8.046907976,7.862232286,8.020552924,8.644122043,8.621214062,8.819604354
B-H1,0,0.430174687,0.718149104,0,0,0.623833477
ctp,10.46651706,10.66791294,10.51391645,10.61269826,10.84078894,10.76990163
dhd,0.089806327,0,0,0,0,0
DNApol-alpha50,0.850272436,1.482787903,0.460785459,1.013304027,0.714518384,0.734578078
Dp,5.788478857,5.485456962,5.379878045,6.162568046,5.744638468,5.821383736
E2f1,7.841673181,7.343360949,7.008738364,7.838211067,7.860895878,7.42683231
Fdh,6.687750853,6.80502866,6.867774072,4.597708587,4.828205838,5.133618708
Fdx1,3.843911495,4.374602266,4.107207901,3.737770762,3.890046877,4.39844946
Gip,5.879431406,6.028312596,6.219904144,4.569202034,3.682802858,3.975353545
Hem,8.128969685,7.759777421,7.900728742,5.38585219,5.703826706,5.992725285
Irbp,3.427948126,3.567563376,3.920082447,4.183714049,4.453300275,3.751331862
BRWD3,7.72608049,7.125869983,7.43254129,7.320726322,7.509633261,6.584418848
mRpL12,6.437614394,6.589501327,6.644894896,6.5882736,6.479544735,6.813625149
Gem3,3.949641763,4.160088462,4.138368579,2.699399957,2.883392583,3.307621211
nmo,9.10121981,9.116221811,8.99621691,9.531292443,9.627698278,9.672924611
oaf,6.474552587,6.126032241,5.741991688,6.232861558,6.428826397,6.532480753
CG4038,1.467932039,1.030117199,0.718149104,0.943945139,0.867152957,1.156697169
Pp2B-14D,6.746318418,6.271529864,6.342518584,6.690737048,6.546080941,6.935717914
Pxn,8.941530418,8.597111174,8.474658408,7.928225889,7.813336108,7.96955945
Ret,3.821147343,3.513730936,4.300638777,0.774503582,0.085481031,1.350002208
Ser6,0,0,0.075540634,0,0,0
Taf2,5.64956135,5.131131698,5.039016255,4.430289667,4.383289238,4.557555742
Tis11,1.191907582,1.541357195,1.655458917,0.099039483,1.469991358,1.23414005
AcCoAS,7.926387343,7.45325748,7.734433921,12.2170521,12.0760675,11.98615496
Aldh,2.499904491,1.778955809,2.235467704,4.936971249,5.027661716,5.429510901
Ance,0.925378394,0.398839565,0.075540634,0.813914366,0.043373527,0
AttA,0.254209339,0.490874211,0.403305984,0.19171458,0.384278962,0.400167095
CalpA,6.81129021,6.732649821,6.894746006,6.876700302,6.999963456,7.202434134
Cdc27,6.471423254,5.726960841,5.750659997,6.026600644,6.120602441,6.029576078
Dh44,2.353477901,1.651811622,1.703873911,5.223387884,5.42101861,5.572044166
Trl,2.491690508,2.014255748,1.903635333,2.044969659,2.47186085,2.685768111
FK506-bp1,7.26458006,7.018829241,7.22374733,6.457509885,6.31895029,6.440307841
Gp150,1.611301687,0.785544823,0.620641262,0.334057725,0.602981688,0.914728587
Hsp70Aa,2.556129034,2.361715268,2.449359368,1.203369782,1.265409039,1.780032676
Hsp70Ab,5.622544487,5.352750511,5.441852542,3.569515471,3.887073869,4.096429171
Hsp70Ba,3.940618111,3.639705834,3.668887747,2.15648072,2.143498487,2.739875223
Hsp70Bb,7.150185616,7.434788943,7.497069706,7.25289146,6.979173808,6.974598696
Hsp70Bc,3.249463271,2.953318552,2.918045209,1.579992895,1.591855642,2.190756053
ProtA,0,0,0.075540634,0,0,0
ProtB,0.045601845,0.158077041,0,0,0.126394328,0
Nca,7.020233982,7.283229479,7.434784215,7.346991688,7.485511702,7.335998141
Nmda1,7.468773821,7.681170359,7.669253774,7.872445852,7.920268586,7.855327949
Odc1,0.996767095,1.128912832,1.840072658,1.275723862,1.388243933,0.713098814
Odc2,0.045601845,0.041172495,0,0.033774261,0,0.135347252
Ptth,0.214831388,0.967420201,1.090089724,0.066775902,0.043373527,0.895787384
RpL11,7.639972852,7.80062525,7.925821947,6.460229227,6.58650348,6.477408895
